,university_name,program_name,tags,duration,tuition,start_date,description,state,city,world_ranking,disciplines,delivered,gpa,gre,toefl,ielts,credits,gpa_yn,university_tier_ranking,gmat_yn,ielts_yn,toefl_yn,gre_yn,fall_start_yn,spring_start_yn,summer_start_yn,desc_len,tuition_per_month
30,University of Missouri - Columbia,Data Science and Analytics (with an Emphasis in Biotechnology), M.Sc. ,24.0,27090.0,8/19/2020,data scientists routinely leverage tools techniques computer science information systems advanced statistics machine learning satisfy growing need data scientist transform large collections data actionable decision making products employers proposing master science data science analytics ,Missouri,Columbia,151.0,Biotechnology,nan,3,Not Required,80.0,6.5,34.83512544802868,1,2,0,1,1,0,1,0,0,289,1128.75
31,Utica College,Data Science, M.Sc. ,12.0,830.0,9/2/2020,never history able collect access much information fellow humans ability distill meaning data propel positive change people lives offer master degree data science utica college ,New York,Utica,,Data Science & Big Data,Online,3,Not Required,79.0,6.0,34.83512544802868,1,5,0,1,1,0,1,0,0,177,69.17
32,George Washington University,Data Science, M.Sc. ,12.0,1825.0,1/11/2021,data science emerging field aims extract actionable insights vast arrays information drawing techniques theories statistics computer science mathematics program offered george washington universityfocuses effective analysis use large data natural social sciences,"Washington, D.C.","Washington, D. C.",198.0,Data Science & Big Data,On Campus,,Not Required,100.0,7.0,38.0,0,3,0,1,1,0,0,1,0,262,152.08
33,Temple University,Statistics and Data Science, M.Sc. ,12.0,1114.0,,hone predictive analytics skills needed join next generation elite data analysts master science statistics data science temple university fox school business,Pennsylvania,Philadelphia,301.0,Statistics,On Campus,,Required,79.0,6.5,34.83512544802868,0,3,1,1,1,1,0,0,0,157,92.83
34,Texas Tech University,Data Science, M.Sc. ,12.0,15251.0,,college business offering master science data science texas tech university   ,Texas,Lubbock,450.0,Data Science & Big Data,nan,3,Not Required,79.0,6.5,36.0,1,3,1,1,1,0,0,0,0,78,1270.92
35,University of Missouri - Columbia,Data Science and Analytics (with an Emphasis in Strategic Communications and Data Journalism), M.Sc. ,24.0,27090.0,8/19/2020,data scientists routinely leverage tools techniques computer science information systems advanced statistics machine learning satisfy growing need data scientist transform large collections data actionable decision making products employers proposing master science data science analytics ,Missouri,Columbia,151.0,Data Science & Big Data,nan,,Not Required,80.0,6.5,34.83512544802868,0,2,0,1,1,0,1,0,0,289,1128.75
36,University of Missouri - Columbia,Data Science and Analytics (with an Emphasis in High Performance Computing), M.Sc. ,24.0,27090.0,8/19/2020,data scientists routinely leverage tools techniques computer science information systems advanced statistics machine learning satisfy growing need data scientist transform large collections data actionable decision making products employers proposing master science data science analytics ,Missouri,Columbia,151.0,Computer Sciences,nan,3,Not Required,80.0,6.5,34.83512544802868,1,2,0,1,1,0,1,0,0,289,1128.75
37,University of Missouri - Columbia,Data Science and Analytics (with an Emphasis in Human Centered Science Design), M.Sc. ,24.0,27090.0,8/19/2020,data scientists routinely leverage tools techniques computer science information systems advanced statistics machine learning satisfy growing need data scientist transform large collections data actionable decision making products employers proposing master science data science analytics ,Missouri,Columbia,151.0,Data Science & Big Data,nan,,Not Required,80.0,6.5,32.0,0,2,0,1,1,0,1,0,0,289,1128.75
38,"University of California, San Diego",Data Science and Engineering (Advanced), M.Sc. ,24.0,32109.0,1/2/2021,data science engineering program engineering professionals combine skills software programmer database manager statistician create mathematical models data identify trends deviations present effective visual ways understood others,California,San Diego,18.0,General Engineering & Technology,On Campus,,Not Required,83.0,7.0,34.83512544802868,0,1,0,1,1,0,0,1,0,230,1337.88
40,Bay Path University,Applied Data Science, M.Sc. ,12.0,855.0,10/21/2020,applied data science course bay path university provide framework working together regardless background experience ,Massachusetts,Longmeadow,,Data Science & Big Data,Online,,Not Required,80.0,6.0,30.0,0,5,0,1,1,0,1,0,0,116,71.25
41,Duke University,Interdisciplinary Data Science, Master ,24.0,26770.0,8/20/2020,duke university master interdisciplinary data science mids home creative problem solvers want use data strategically advance society cultivating new type quantitative thought leader uses computational strategies generate innovation insights,North Carolina,Durham,20.0,Data Science & Big Data,nan,3,Required,0.0,7.0,30.0,1,1,0,1,1,1,1,0,0,240,1115.42
42,Lewis University,Data Science (Computer Science), M.Sc. ,24.0,800.0,,online master science data science computer scientists concentration lewis university designed give understanding managing big data across variety computer platforms,Illinois,Chicago,,Computer Sciences,nan,3,Not Required,79.0,6.0,60.0,1,5,0,1,1,0,0,0,0,165,33.33
43,Georgetown University,Health Informatics and Data Science, M.Sc. ,18.0,2117.0,8/21/2020,master health informatics data science program georgetown university designed help develop core competencies data science health related data predictive analytics machine learning ml artificial intelligence ai advanced technologies,"Washington, D.C.","Washington, D. C.",102.0,Data Science & Big Data,On Campus,3,Required,80.0,7.0,28.0,1,2,0,1,1,1,1,0,0,231,117.61
44,Lewis University,Data Science (Computational Biology and Bioinformatics Concentration), M.Sc. ,24.0,800.0,,online master science data science concentration computational biology bioinformatics lewis university tailored students able better understand computational biology bioinformatics biotechnology research life science data mining ,Illinois,Chicago,,Data Science & Big Data,nan,,Not Required,79.0,6.0,30.0,0,5,0,1,1,0,0,0,0,229,33.33
46,University of Maryland,Survey and Data Science, Master ,24.0,39000.0,8/31/2020,online survey data science program university maryland provide post baccalaureate training individuals interested broadening knowledge understanding emerging field data science conduct sample surveys practical applications data analysis survey methodology data management along skills needed communicate results,Maryland,College Park,46.0,Data Science & Big Data,Online,3,Not Required,96.0,7.0,34.83512544802868,1,1,0,1,1,0,1,0,0,311,1625.0
47,The University of Vermont,Complex Systems and Data Science, M.Sc. ,12.0,1720.0,1/13/2021,complex systems data science degree offered university vermont trains emerging data scientists find model understand tell stories patterns uncover,Vermont,Burlington,301.0,Computer Sciences,On Campus,3,Not Required,90.0,6.5,36.0,1,3,0,1,1,0,0,1,0,146,143.33
48,George Washington University,Data Analytics, M.Sc. ,24.0,2035.0,8/31/2021,administered jointly department computer scienceand department engineering management systems engineering master science data analytics offered george washington university aims address growing demand professionals skilled big data data analytics government industryand research organizations,"Washington, D.C.","Washington, D. C.",198.0,Data Science & Big Data,On Campus,,Not Required,100.0,7.0,34.83512544802868,0,3,0,1,1,0,1,0,0,292,84.79
49,Rutgers University,Business and Science Degree in Analytics - Discovery Informatics and Data Sciences, Master ,12.0,1256.0,,business science degree analytics discovery informatics data sciences program rutgers university prepares students data driven decision making brings together fields computer science statistics machine learning data mining big data,New Jersey,Camden,101.0,Business Intelligence & Analytics,On Campus,3,Not Required,0.0,7.0,32.0,1,2,0,1,1,0,0,0,0,231,104.67
50,University of North Dakota,Data Science, M.Sc. ,24.0,22932.0,8/26/2020,gain data science skills employers want data science program university north dakota,North Dakota,Grand Forks,992.0,Data Science & Big Data,Blended,3,Not Required,76.0,6.0,34.83512544802868,1,4,0,1,1,0,1,0,0,84,955.5
51,University of Southern California,Spatial Data Science, M.Sc. ,12.0,2005.0,1/11/2021,master science spatial data science cross disciplinary joint degree program university southern california offered viterbi school engineering dornsife college letters arts sciences students must admitted viterbi school engineering dornsife college letters arts sciences,California,Los Angeles,55.0,Astronomy & Space Sciences,On Campus,,Not Required,90.0,6.5,30.0,0,2,0,1,1,0,0,1,0,269,167.08
53,University of Southern California,Public Policy Data Science, M.Sc. ,24.0,57256.0,,informatics big data increasingly essential policy development throughout public private sectors bolster decision making role government agencies corporate realm university southern california price school public policy usc viterbi school engineering master science public policy data science,California,Los Angeles,55.0,Public Policy,On Campus,2.75,Not Required,90.0,6.5,30.0,1,2,0,1,1,0,0,0,0,292,2385.67
54,Tufts University,Data Science, M.Sc. ,24.0,51288.0,9/1/2020,data science offered jointly departments computer science electrical computer engineering data science program may completed little one year study student pace,Massachusetts,Medford,139.0,Data Science & Big Data,nan,3,Required,90.0,7.0,34.83512544802868,1,2,0,1,1,1,1,0,0,159,2137.0
55,University of Southern California,Communication Data Science, M.Sc. ,12.0,57256.0,1/11/2021,master science communication data science offered university southern california cross disciplinary joint degree program offered viterbi school engineering annenberg school communication journalism students must admitted schools,California,Los Angeles,55.0,Communication Sciences,Blended,,Not Required,90.0,6.5,32.0,0,2,0,1,1,0,0,1,0,228,4771.33
56,University of Delaware,Data Science, M.Sc. ,24.0,1898.0,8/28/2020,ms data science professional masters flexible set core requirements statistics mathematics computer information sciences aimed providing solid background methods behind data science work large dynamic data sets ,Delaware,Newark,201.0,Data Science & Big Data,nan,3,Not Required,100.0,7.5,33.0,1,3,0,1,1,0,1,0,0,211,79.08
57,Florida International University,Data Science, M.Sc. ,12.0,18030.0,,master science data science program florida international university prepares students either continued graduate education careers business industry government ,Florida,West Miami,401.0,Data Science & Big Data,On Campus,,Not Required,80.0,6.5,30.0,0,3,0,1,1,0,0,0,0,160,1502.5
58,California State University East Bay,Statistics - Data Science, M.Sc. ,12.0,15546.0,,department statistics biostatistics offers graduate study leading statistics data science program california state university east bay,California,Hayward,,Statistics,On Campus,3,Not Required,80.0,6.5,30.0,1,5,0,1,1,0,0,0,0,134,1295.5
59,New Jersey Institute of Technology,Data Science, M.Sc. ,12.0,30540.0,11/15/2020,housed department computer science offered collaboration department mathematical sciences interdisciplinary data science program new jersey institute technology offers choice computational statistics track equipping fundamentals application tools solve data science problems,New Jersey,Newark,501.0,Data Science & Big Data,On Campus,3,Not Required,79.0,6.5,30.0,1,4,0,1,1,0,1,0,0,274,2545.0
60,Catholic University of America,Data Analytics, M.Sc. ,24.0,22470.0,8/27/2020,catholic university america partnering industry leaders offer education data science analytics,"Washington, D.C.","Washington, D. C.",1072.0,Data Science & Big Data,nan,3,Not Required,80.0,6.5,45.0,1,4,0,1,1,0,1,0,0,94,936.25
61,University of Southern California,Applied Data Science, M.Sc. ,24.0,2005.0,1/11/2021,objective university southern california viterbi master science applied data science train students limited background computer science skilled data scientists  ,California,Los Angeles,55.0,Data Science & Big Data,On Campus,2.5,Not Required,90.0,6.5,30.0,1,2,0,1,1,0,0,1,0,161,83.54
62,The University of Tennessee at Chattanooga,Computer Science: Data Science, M.Sc. ,12.0,17462.0,1/4/2021,computer science data science program the university tennessee chattanooga requires student complete minimum semester hours graduate work including thesis semester hours graduate work including project ,Tennessee,Chattanooga,,Computer Sciences,On Campus,,Not Required,83.0,6.5,34.83512544802868,0,5,0,1,1,0,0,1,0,202,1455.17
63,Indiana University Bloomington,Data Science, Master ,12.0,30642.0,8/24/2021,data science online option indiana university bloomingtonprovides working professionals recent college graduates flexible graduate degree interdisciplinary program students five years complete credit hours graduate level coursework,Indiana,Bloomington,101.0,Data Science & Big Data,Blended,,Required,96.0,7.0,30.0,0,2,0,1,1,1,1,0,0,231,2553.5
64,Illinois Institute of Technology,Data Science, M.Sc. ,12.0,1530.0,8/19/2020,master data science program illinois institute technologyyou learn explore data using high level mathematics statistics computer science ,Illinois,Chicago,421.0,Computer Sciences,On Campus,3,Not Required,90.0,5.5,34.83512544802868,1,3,0,1,1,0,1,0,0,137,127.5
66,National University,Data Science, M.Sc. ,12.0,442.0,,culmination data science program national university three month capstone project real data sponsoring organizations publicly available data used solve specialized problems analytical database design programming implementation optimization,California,San Diego,,Informatics & Information Sciences,Blended,,Not Required,79.0,6.0,30.0,0,5,0,1,1,0,0,0,0,239,36.83
67,Carnegie Mellon University,Computational Data Science, M.Sc. ,12.0,46000.0,8/31/2021,master computational data science program carnegie mellon universityequips skills knowledge need develop layers technology involved next generation massive information system deployments analyze data systems generate,Pennsylvania,Pittsburgh,27.0,Data Science & Big Data,On Campus,3,Required,84.0,7.0,35.0,1,1,0,1,1,1,1,0,0,216,3833.33
68,Stockton University,Data Science and Strategic Analytics, M.Sc. ,24.0,961.0,8/27/2020,data science strategic analytics dssa program stockton self standing master degree program student entering program acquire substantial experience sophisticated industry standard computational software programming tools allow student explore data driven problems science business social science medicine humanities,New Jersey,Ocean Acres,,Data Science & Big Data,nan,3,Not Required,0.0,0.0,34.83512544802868,1,5,0,1,1,0,1,0,0,314,40.04
69,University of Michigan,Data Science, Master ,12.0,24102.0,9/3/2021,data science program offered university michigan core data science training focused first two pillars along practice applying skills address problems application domains,Michigan,Ann Arbor,17.0,Data Science & Big Data,On Campus,,Not Required,84.0,6.5,31.0,0,1,0,1,1,0,1,0,0,169,2008.5
70,University of Wisconsin Green Bay,Data Science, M.Sc. ,24.0,1038.0,9/5/2020,university wisconsin green bay university wisconsin eau claire university wisconsin la crosse university wisconsin oshkosh university wisconsin stevens point university wisconsin superior collaboration university wisconsin extension offering master science data science ,Wisconsin,Green Bay,,Data Science & Big Data,nan,,Not Required,0.0,0.0,30.0,0,5,0,1,1,0,1,0,0,270,43.25
71,University of Wisconsin La Crosse,Data Science, M.Sc. ,12.0,842.0,9/4/2020,designed busy adults course credit university wisconsin online master science data science teach clean organize analyze interpret unstructured data deriving knowledge communicating discoveries clearly using sophisticated visualization techniques means,Wisconsin,La Crosse,,Data Science & Big Data,nan,3.2,Not Required,0.0,6.0,34.83512544802868,1,5,0,1,1,0,1,0,0,251,70.17
72,The City University of New York,Data Science, M.Sc. ,12.0,855.0,8/27/2020,drive change data science graduate center city university new york public university offer exceptional program affordable tuition,New York,New York City,601.0,Data Science & Big Data,On Campus,,Not Required,80.0,6.5,34.83512544802868,0,4,0,1,1,0,1,0,0,129,71.25
73,University of San Francisco,Data Science, M.Sc. ,12.0,1480.0,7/1/2020,data science degree university san franciscodelivers rigorous curriculumfocused mathematical computational techniques emerging field data science ,California,San Francisco,801.0,Business Intelligence & Analytics,On Campus,,Not Required,90.0,6.5,30.0,0,4,0,1,1,0,0,0,1,146,123.33
74,The University of Texas at San Antonio,Computer Science (with a Concentration in Data Science), M.Sc. ,24.0,25078.0,8/21/2020,concentration provides students fundamental knowledge data management machine learning data mining statistics data visualization communicating data students opportunities specialize applications health life sciences well learn critical generalizable skills ,Texas,Helotes,401.0,Computer Sciences,nan,3,Required,79.0,6.5,30.0,1,3,0,1,1,1,1,0,0,257,1044.92
75,University of Minnesota,Data Science, M.Sc. ,24.0,27204.0,9/8/2021,data science program university minnesota provides strong foundation science big data analysis gathering single program knowledge expertise educational assets data collection management data analytics scalable data driven pattern discovery fundamental concepts behind methods,Minnesota,Minneapolis,79.0,Data Science & Big Data,On Campus,,Not Required,79.0,6.5,30.0,0,2,0,1,1,0,1,0,0,275,1133.5
76,Indiana University Bloomington,Data Science, M.Sc. ,24.0,30642.0,8/24/2021,data science program indiana university bloomingtonschool informatics computing engineering training next generation data scientists competitive edge respective industries ,Indiana,Bloomington,101.0,Data Science & Big Data,On Campus,,Not Required,96.0,7.0,30.0,0,2,0,1,1,0,1,0,0,172,1276.75
78,Contemporary Technology University,Data Science, M.Sc. ,12.0,6000.0,9/15/2020,become data scientist mastering skills interpret data nformulate insights communicate knowledge applying machine nlearning managing large data sets generating interesting nvisualisations,New York,New York City,,Computer Sciences,nan,3,Not Required,0.0,6.0,34.83512544802868,1,5,0,1,1,0,1,0,0,186,500.0
79,Michigan Technological University,Data Science, M.Sc. ,12.0,21717.0,9/3/2020,today society generates much data organizations able effectively consume result tiny fraction data ever analyzed result need trained data scientists growing exponentially ,Michigan,Houghton,601.0,Data Science & Big Data,On Campus,,Not Required,100.0,7.0,34.83512544802868,0,4,0,1,1,0,1,0,0,171,1809.75
80,University of Pennsylvania,Data Science, Master ,18.0,7310.0,8/31/2021,data science program university pennsylvania studies emerging discipline data science become essential making decisions understanding observations solving problems today world,Pennsylvania,Philadelphia,11.0,Data Science & Big Data,On Campus,2.7,Required,100.0,7.5,34.0,1,1,0,1,1,1,1,0,0,175,406.11
82,"""St. John's University""",Data Science, M.Sc. ,12.0,1305.0,1/20/2021,data science st john universityprepares students related careers involve application computational statistical techniques becoming vital industry research ,New York,New York City,,Business Intelligence & Analytics,On Campus,3.4,Required,100.0,7.0,30.0,1,5,0,1,1,1,0,1,0,155,108.75
83,"""Saint Mary's College""",Data Science, M.Sc. ,24.0,675.0,8/26/2020,data science program offered saint mary college develop strong mathematical base enduring skill set ever changing world allow take complex data challenges future matter programming language using,Indiana,South Bend,,Data Science & Big Data,Online,,Required,80.0,6.5,30.0,0,5,0,1,1,1,1,0,0,195,28.12
85,Saint Louis University,Health Data Sciences, M.Sc. ,24.0,1130.0,8/26/2020,offered center health outcomes research saint louis university master degree health data science prepares high earning careers using analytics big data health care industry,Missouri,Saint Louis,401.0,Public Health,nan,3,Not Required,80.0,6.5,34.83512544802868,1,3,0,1,1,0,1,0,0,172,47.08
86,Hamline University,Science in Business Analytics, M.B.A. ,12.0,755.0,9/4/2020,data analytics privacy shaping 21st century competitive landscape businesses collecting data ever need skilled analysts analyze organize communicate story data actionable information business leaders data translator science business analytics program offered hamline university,Minnesota,Saint Paul,,Business Intelligence & Analytics,Blended,3,Not Required,80.0,6.5,34.83512544802868,1,5,0,1,1,0,1,0,0,277,62.92
87,Claremont Graduate University,Data Science and Analytics, M.Sc. ,18.0,1980.0,,ms information systems technology concentration data science analytics explores ways massive volumes data used enhance human performance solve business societal problems,California,Claremont,,Data Science & Big Data,On Campus,,Not Required,100.0,7.5,34.83512544802868,0,5,0,1,1,0,0,0,0,169,110.0
88,Rowan University,Data Analytics, M.Sc. ,12.0,715.0,9/1/2020,master science data analytics rowan university designed individuals bachelor degree stem related field looking expand knowledge opportunities data science,New Jersey,Glassboro,,Data Science & Big Data,On Campus,3,Required,79.0,6.0,34.83512544802868,1,5,0,1,1,1,1,0,0,154,59.58
89,Arizona State University,Computer Science - Big Data Systems, M.Sc. ,12.0,25200.0,1/13/2021,computer science big data systems program arizona state university designed graduate students want pursue thorough education research area big data systems ,Arizona,Tempe Junction,101.0,Computer Sciences,On Campus,,Required,90.0,7.0,30.0,0,2,0,1,1,1,0,1,0,156,2100.0
90,San Francisco State University,Statistical Data Science, M.Sc. ,24.0,8704.0,8/26/2020,statistical data science program san francisco state universitydelivers comprehensive curriculum fields statistics data science prepare students diverse backgrounds including statistics mathematics computer science engineering quantitative fields data science workforce doctoral program,California,San Francisco,972.0,Mathematics,On Campus,,Not Required,80.0,6.5,32.0,0,4,0,1,1,0,1,0,0,286,362.67
92,University of Texas at Dallas,Social Data Analytics and Research, M.Sc. ,12.0,18856.0,8/17/2020,social data analytics research program university texas dallas builds faculty expertise criminology economics geospatial information sciences political science collection analysis increasing career demand government nonprofit private sector organizations doctoral programs advanced research institutions,Texas,Richardson,273.0,Social Work,nan,3.25,Not Required,80.0,6.5,30.0,1,3,0,1,1,0,1,0,0,303,1571.33
93,Grand Valley State University,Data Science and Analytics, Master ,12.0,682.0,8/26/2020,data science analytics degree provides students fundamental analytics background necessary work big complex data sets discipline also allows statistics computing student gain additional cross disciplinary background student discipline develop skills solve data intensive problems ,Michigan,Allendale,,Data Science & Big Data,nan,3,Not Required,80.0,6.5,30.0,1,5,0,1,1,0,1,0,0,280,56.83
94,California State University Fullerton,Information Technology (with a Concentration in Data Science), M.Sc. ,24.0,7176.0,1/19/2021,information technology data science concentration provides students knowledge skills experience data processing analytics context business students learn articulate strategies methods allow effective use management data storage analytics within organization,California,Fullerton,759.0,Technology Management,nan,3,Not Required,0.0,0.0,30.0,1,4,0,1,1,0,0,1,0,257,299.0
95,Chapman University,Computational and Data Sciences, M.Sc. ,12.0,1695.0,8/31/2020,computational data sciences graduates chapman university construct mathematical models develop quantitative analysis techniques use computers analyze solve scientific real life problems,California,Los Angeles,,Data Science & Big Data,On Campus,3,Not Required,80.0,6.5,30.0,1,5,0,1,1,0,1,0,0,185,141.25
96,Boston University,Applied Data Analytics, M.Sc. ,12.0,54720.0,,master science applied data analytics program boston university provides students solid knowledge foundations data analytics emphasizes presentation discussion latest industry tools approaches within academically rigorous framework,Massachusetts,Boston,51.0,Business Intelligence & Analytics,On Campus,3,Required,84.0,6.5,30.0,1,2,1,1,1,1,0,0,0,231,4560.0
97,Yale University,Statistics and Data Science, M.A. ,24.0,43300.0,8/28/2021,statistics data science department yale university offers broad training program comprised main areas statistical theory emphasis foundations bayes theory decision theory nonparametric statistics probability theory stochastic processes asymptotics information theory machine learning data analysis statistical computing graphical methods,Connecticut,New Haven,8.0,Statistics,On Campus,3,Not Required,100.0,7.0,34.83512544802868,1,1,0,1,1,0,1,0,0,337,1804.17
98,Arizona State University,Computer Science - Big Data Systems, Master ,12.0,25200.0,1/13/2021,goal computer science big data systems program arizona state university provide students knowledge skills advanced research expertise designing scalable parallel distributed real time systems acquiring storing processing accessing large scale heterogeneous multi source data using analytical tools mine information data ,Arizona,Tempe Junction,101.0,Computer Sciences,On Campus,,Required,80.0,6.5,34.83512544802868,0,2,0,1,1,1,0,1,0,320,2100.0
99,University of Arizona,Statistics and Data Science, M.Sc. ,12.0,20126.0,1/13/2021,mission statistics data science university arizona develop next generation data scientists trained meet challenges modern interdisciplinary data extraction analysis interpretation,Arizona,Tucson,85.0,Statistics,On Campus,,Required,79.0,7.0,34.0,0,2,0,1,1,1,0,1,0,179,1677.17
100,Clemson University,Biomedical Data Science and Informatics, M.Sc. ,12.0,26850.0,8/19/2020,biomedical data science informatics interdisciplinary program clemson university leverages broad strength clemson spanning computing engineering mathematics biology public health areas produce next generation data scientists prepared manage analyze big data sources mobile sensors genomic imaging technologies,South Carolina,Clemson,401.0,Biomedicine,On Campus,,Not Required,79.0,6.5,30.0,0,3,0,1,1,0,1,0,0,309,2237.5
101,West Virginia University,Business Data Analytics, M.Sc. ,12.0,24840.0,8/19/2020,online master science business data analytics offered college business economics west virginia university equips students develop expertise statistical techniques data mining utilizing databases analytical tools,West Virginia,Morgantown,401.0,Business Intelligence & Analytics,Online,3,Not Required,79.0,6.5,32.0,1,3,0,1,1,0,1,0,0,211,2070.0
102,University of Wisconsin Madison,Biomedical Data Science, M.Sc. ,24.0,25526.0,9/2/2021,university wisconsin madison offer master degree biomedical data science current explosion biomedical data provides awesome opportunity improve understanding mechanisms disease ultimately improve human health care,Wisconsin,Madison,27.0,Bio & Biomedical Engineering,On Campus,3,Required,92.0,7.0,30.0,1,1,0,1,1,1,1,0,0,213,1063.58
103,The University of Texas at San Antonio,Statistics and Data Science, M.Sc. ,24.0,51928.0,,master science statistics data science designed meet increasing demand trained professionals understand nature designing experiments making predictions forecasts analyzing large complex datasets,Texas,Helotes,401.0,Statistics,nan,,Required,79.0,6.5,39.0,0,3,1,1,1,1,0,0,0,194,2163.67
104,The University of Texas at San Antonio,Data Analytics, M.Sc. ,24.0,25078.0,8/21/2020,goal master science data analytics program produce highly skilled educated data analysts transform big data usable information decision makers across variety disciplines including business healthcare national security,Texas,Helotes,401.0,Data Science & Big Data,nan,2.75,Required,79.0,6.5,12.0,1,3,0,1,1,1,1,0,0,217,1044.92
105,New York University,Applied Statistics for Social Science Research, M.Sc. ,12.0,21540.0,9/2/2021,applied statistics social science research program new york university learn advanced quantitative research techniques apply critical policy issues across social behavioral health sciences preparing career applied statistician data scientist doctoral study,New York,New York City,28.0,Statistics,On Campus,3,Required,100.0,7.0,32.0,1,1,1,1,1,1,1,0,0,256,1795.0
106,Rutgers University,Computational and Data - Enabled Science and Engineering, Postgraduate Certificate ,12.0,1256.0,,computational data enabled science engineering program rutgers university cross disciplinary graduate program based rutgers discovery informatics institute rdi2 professional science master program master business science degree,New Jersey,Camden,101.0,General Engineering & Technology,On Campus,,Not Required,0.0,7.0,30.0,0,2,0,1,1,0,0,0,0,227,104.67
107,Arizona State University,Biological Data Science, M.Sc. ,24.0,25200.0,8/20/2020,ms program biological data sciencefrom arizona state university provides students real world training interface natural mathematical sciences ,Arizona,Peoria,101.0,Biomedicine,On Campus,,Not Required,80.0,6.5,34.83512544802868,0,2,0,1,1,0,1,0,0,142,1050.0
108,University of Houston Downtown,Data Analytics, M.Sc. ,12.0,9102.0,8/26/2020,master science data analytics msda university houston downtown theory application based program provide students broad education advanced statistics digital data acquisition digital data management data analysis data presentation ,Texas,Houston,,Data Science & Big Data,On Campus,,Not Required,0.0,0.0,34.83512544802868,0,5,0,1,1,0,1,0,0,230,758.5
109,Georgetown University,Data Science for Public Policy, Master ,24.0,48153.0,8/21/2020,unique curriculum intersection data science quantitative public policy analysis data science public policy program georgetown university equips graduates cutting edge computational analytical leadership skills,"Washington, D.C.","Washington, D. C.",102.0,Public Policy,On Campus,3,Not Required,100.0,7.0,30.0,1,2,0,1,1,0,1,0,0,209,2006.38
110,University of Arizona,Statistics and Data Science (Certificate NDP), Postgraduate Certificate ,6.0,20126.0,1/13/2021,certificate students statistics data science certificate ndp university arizona often nontraditional students several years removed university education possessing considerable work experience ,Arizona,Tucson,85.0,Statistics,Blended,3,Required,79.0,7.0,34.83512544802868,1,2,0,1,1,1,0,1,0,193,3354.33
111,University of Southern California,Computer Science (Data Science), M.Sc. ,12.0,2005.0,1/11/2021,requirements graduation course offerings course availability track offerings degree requirements subject change students consult academic advisor prior registering classes computer science data science program offered university southern california,California,Los Angeles,55.0,Computer Sciences,Blended,,Required,90.0,6.5,34.83512544802868,0,2,0,1,1,1,0,1,0,248,167.08
112,Kansas State University,Data Analytics, M.Sc. ,24.0,12518.0,1/21/2021,kansas state university online data analytics programs designed equip students undergraduate graduate levels practical skills need better understand business data,Kansas,Manhattan,301.0,Data Science & Big Data,Online,,Not Required,79.0,6.5,33.0,0,3,0,1,1,0,0,1,0,162,521.58
113,University of Denver,Data Science, M.Sc. ,9.0,1372.0,9/10/2020,organizations increasingly turn data inform decision making looking professionals build tools extract analyze interpret manage massive amounts data wide variety sources,Colorado,Denver,351.0,Data Science & Big Data,nan,3,Required,80.0,6.5,108.0,1,3,1,1,1,1,1,0,0,168,152.44
115,The New School,Data Visualization, M.Sc. ,12.0,1810.0,8/31/2021,students data visualization graduate program the new schoolobtain diverse skill set needed success range careers related data interpretation,New York,New York City,561.0,Design,On Campus,3,Required,92.0,7.0,34.83512544802868,1,4,0,1,1,1,1,0,0,140,150.83
118,University of Utah,Business Analytics, M.Sc. ,24.0,51200.0,,ranked top nationally designed provide students skills necessary compete rapidly growing market analytics data science professionals david eccles school business master science business analytics msba program university utah offers unique blend innovative curriculum data analytics managerial space,Utah,Salt Lake City,101.0,Business Intelligence & Analytics,On Campus,,Required,85.0,6.5,36.0,0,2,1,1,1,1,0,0,0,298,2133.33
120,Western Michigan University,Data Science, M.Sc. ,24.0,15556.0,8/29/2020,interdisciplinary master program offered departments computer science ceas statistics coas ,Michigan,Kalamazoo,1176.0,Data Science & Big Data,nan,2.75,Not Required,80.0,6.5,36.0,1,4,0,1,1,0,1,0,0,91,648.17
122,Clarkson University,Data Analytics, M.Sc. ,12.0,1606.0,8/24/2020,master science data analytics program clarkson universityprovides skills effective professional rapidly growing field,New York,Potsdam,601.0,Business Intelligence & Analytics,Blended,3.3,Required,80.0,6.5,60.0,1,4,1,1,1,1,1,0,0,117,133.83
123,University of Central Florida,Data Analytics, M.Sc. ,12.0,43008.0,,data analytics program university central florida provides students ability develop algorithms computer programs discovery information large amounts data,Florida,Orlando,301.0,Data Science & Big Data,On Campus,,Required,80.0,6.5,30.0,0,3,0,1,1,1,0,0,0,153,3584.0
124,Pratt Institute,Data Analytics and Visualization, M.Sc. ,12.0,27954.0,8/31/2021,master science data analytics visualization dav program pratt institute addresses growing need nationally locally researchers analysts mapmakers designers usability experts data professionals ,New York,New York City,,Data Science & Big Data,On Campus,,Not Required,79.0,6.5,36.0,0,5,0,1,1,0,1,0,0,192,2329.5
125,Yale University,Computer Science and Economics, M.Sc. ,12.0,43300.0,8/28/2021,apply computer science economics program yale university,Connecticut,New Haven,8.0,Economics,On Campus,,Not Required,100.0,7.0,34.83512544802868,0,1,0,1,1,0,1,0,0,56,3608.33
126,Claremont Graduate University,Applied Data Science and International Studies, M.Sc. ,24.0,1980.0,,master science applied data science international studies msadsis trains students latest computational visualization data driven decision making techniques perform top level strategic analysis public private international policy,California,Claremont,,Political Science,On Campus,,Required,100.0,7.5,32.0,0,5,0,1,1,1,0,0,0,228,82.5
