,university_name,program_name,tags,duration,tuition,start_date,description,state,city,world_ranking,disciplines,delivered,gpa,gre,toefl,ielts,credits,gpa_yn,university_tier_ranking,gmat_yn,ielts_yn,toefl_yn,gre_yn,fall_start_yn,spring_start_yn,summer_start_yn,desc_len,tuition_per_month
586,Bentley University,Business Analytics, M.Sc. ,24.0,43200.0,8/24/2020,big data become big business field grows demand qualified professionals deep analytical experience,Massachusetts,Waltham,,Data Science & Big Data,nan,3,Not Required,0.0,0.0,30.0,1,5,0,1,1,0,1,0,0,98,1800.0
589,Southeast Missouri State University,Applied Computer Science, M.Sc. ,12.0,557.0,,applied computer science program southeast missouri state university offers broad range courses theoretical computerscience software construction data analytics cloudcomputing emerging converging technologies manymore provide much needed opportunity thedevelopment high degree specialization criticalexperience computer professionals,Missouri,Cape Girardeau,,Computer Sciences,On Campus,,Not Required,79.0,6.0,34.83512544802868,0,5,0,1,1,0,0,0,0,333,46.42
594,Duke University,Electrical and Computer Engineering (with concentration in Signal Processing and Communications), M.Eng. ,24.0,26770.0,8/20/2020,duke ece strong experimental theoretical research presence novel structured metamaterials surface science electromagnetic acoustic waves quantum sciences imaging systems communication systems our concentration area signal processing communications designed give deep technical knowledge experience big data analysis robotics ,North Carolina,Durham,20.0,Electrical Engineering,nan,,Not Required,0.0,7.0,30.0,0,1,0,1,1,0,1,0,0,325,1115.42
596,University of Houston Clear Lake,Statistics, M.Sc. ,12.0,20375.0,,master science statistics university houston clear lake offers balance statistical theory statistical methods applications provide fundamental tools conceptual foundations quantitative reasoning making advances sciences decisions industries development implementation government property,Texas,Webster,,Statistics,On Campus,,Not Required,79.0,6.0,36.0,0,5,0,1,1,0,0,0,0,287,1697.92
597,DePaul University,Economics and Policy Analysis, M.Sc. ,12.0,1080.0,,master science ms economics policy analysis depaul university gainin depth knowledge economic theory advanced skills data analysis position examine economic business policies,Illinois,Chicago,1221.0,Economics,On Campus,,Required,80.0,6.5,30.0,0,4,0,1,1,1,0,0,0,174,90.0
598,Florida International University,Information Technology, Master ,12.0,18030.0,,master science degree information technology florida international university provides studies state art computer applications well introduction theoretical foundations computer science ,Florida,West Miami,401.0,Informatics & Information Sciences,On Campus,3,Not Required,80.0,6.5,30.0,1,3,0,1,1,0,0,0,0,186,1502.5
599,Oregon Health & Science University,Computer Science and Engineering, M.Sc. ,24.0,64236.0,9/21/2020,offer masters degrees computer science electrical engineering specialized speech language processing machine learning well application biomedical problems,Ohio,Oregon,152.0,Computer Sciences,On Campus,3,Not Required,0.0,0.0,36.0,1,2,0,1,1,0,1,0,0,154,2676.5
603,George Washington University,Statistics, M.Sc. ,12.0,1825.0,1/11/2021,program statistics george washington university offers combination mathematical statistics applied statistics statistical computing tailored student,"Washington, D.C.","Washington, D. C.",198.0,Statistics,On Campus,,Not Required,80.0,6.0,30.0,0,3,0,1,1,0,0,1,0,148,152.08
604,The University of Vermont,Computer Science, M.Sc. ,12.0,1720.0,1/13/2021,computer science degree offered university vermont,Vermont,Burlington,301.0,Computer Sciences,On Campus,,Required,90.0,6.5,30.0,0,3,0,1,1,1,0,1,0,50,143.33
605,Texas A&M University Central Texas,Mathematics, M.Sc. ,12.0,7810.0,8/26/2020,master science mathematics texas university central texas provides strong emphasis key areas mathematics essential real world applications industry education government ,Texas,Killeen,,Mathematics,Blended,3,Not Required,0.0,0.0,30.0,1,5,0,1,1,0,1,0,0,169,650.83
